9/13 18:35:20.783  SPELL_HEAL,0x0000000000002684,"Lev",0x511,0xF14000FACB0004F6,"Penfold",0x1111,37382,"Health Link",0x2,69,nil
9/13 18:35:21.017  SWING_MISSED,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,MISS
9/13 18:35:21.267  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,252,1,0,0,0,nil,nil,nil
9/13 18:35:21.733  SWING_MISSED,0xF13000471D00FDEC,"Clefthoof",0x10a28,0x0000000000002684,"Lev",0x511,DODGE
9/13 18:35:22.567  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,256,1,0,0,0,nil,nil,nil
9/13 18:35:23.466  SWING_MISSED,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,MISS
9/13 18:35:23.767  SWING_DAMAGE,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,461,1,0,0,0,1,nil,nil
9/13 18:35:23.767  PARTY_KILL,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28
9/13 18:35:23.767  UNIT_DIED,0x0000000000000000,nil,0x80000000,0xF13000471D00FDEC,"Clefthoof",0x10a28
9/13 18:35:23.767  SPELL_AURA_APPLIED,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,35099,"Rapid Killing",0x1,BUFF
9/13 18:35:23.966  SPELL_HEAL,0x0000000000002684,"Lev",0x511,0xF14000FACB0004F6,"Penfold",0x1111,37382,"Health Link",0x2,69,nil
9/13 18:35:27.617  SPELL_CAST_SUCCESS,0x0000000000002684,"Lev",0x511,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,5116,"Concussive Shot",0x40
9/13 18:35:28.034  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,19574,"Bestial Wrath",0x1,"Not yet recovered"
9/13 18:35:28.267  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,19574,"Bestial Wrath",0x1,"Not yet recovered"
9/13 18:35:28.434  SPELL_AURA_APPLIED,0x0000000000000000,nil,0x80000000,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,5116,"Concussive Shot",0x40,DEBUFF
9/13 18:35:28.517  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,223,1,0,0,0,nil,nil,nil
9/13 18:35:29.000  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14325,"Hunter's Mark",0x40,"Not yet recovered"
